Фамилия;Имя;Телефон;Комментарий
Морозов;Михаил;+7(988)316-21-46;нет комментария
Новиков;Всеволод;+7(928)452-31-66;личный
Успенский;Александр;+7(902)548-92-54;личный
Афанасьев;Григорий;+7(968)102-51-42;нет комментария
Поляков;Владимир;+7(923)051-40-03;нет комментария
Виноградова;Юлия;+7(931)173-10-35;личный
Иванова;Софья;+7(936)846-08-58;нет комментария
Фролова;Ульяна;+7(994)232-70-48;нет комментария
Лебедев;Андрей;+7(947)198-89-50;личный
Тихонов;Даниил;+7(917)489-02-73;нет комментария
Костин;Фёдор;+7(908)087-56-81;нет комментария
Чернышев;Георгий;+7(991)049-14-96;личный
Сорокин;Артём;+7(921)208-77-45;личный
Булгаков;Василий;+7(948)426-57-17;рабочий
Журавлева;Милана;+7(935)370-73-75;нет комментария
Петров;Кирилл;+7(976)479-24-13;личный
Пахомова;Амина;+7(950)241-11-32;личный
Герасимов;Родион;+7(986)426-23-29;личный
Кудряшова;Анна;+7(933)655-33-38;нет комментария
Павлов;Илья;+7(946)939-63-48;личный
Семенова;Алина;+7(987)069-90-51;рабочий
Фролова;Ксения;+7(982)738-97-32;личный
